NPA,Area,Area,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,White_Population_2010,White_Population_2000,Black_Population_2010,Black_Population_2000,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
2,411,411,5,2240,5,2216,5,2167,5,2039,6,2413,36,,14,5,8,2,52.8,43.4,33.7,37.8,1.5,7.2,2.8,3.2,9.2,8.5,4.3,18,4.3,18,4.3,18,4.3,18,4.3,18
3,1156,1156,7,7986,7,7938,7,7810,6,6563,5,5694,35,,13,2,10,2,83.7,85.7,10.2,10.7,2.1,0.7,1.9,1.3,2.1,1.5,2.4,27,2.4,27,2.5,29,2.8,33,3.2,36
4,329,329,3,1080,3,1078,3,1065,3,1002,5,1535,47,8,27,9,24,6,93.3,87.8,1.6,5.1,3.5,3.1,0.7,1.5,0.9,2.5,4.3,14,4.3,14,5.1,17,5.1,17,5.1,17
5,167,167,5,790,4,745,5,763,4,603,4,659,33,17,36,12,4,4,8.6,21.2,83.3,73.4,2,0.2,3.5,1.2,2.7,4,21.4,36,21.4,36,21.4,36,21.4,36,21.4,36
6,403,403,5,1853,4,1724,4,1775,4,1638,5,2024,42,,18,5,9,4,14.7,23.2,78.6,72.9,1.1,0.3,1.7,2.2,3.8,1.5,7.7,31,7.7,31,7.7,31,7.7,31,7.7,31
7,548,548,2,1308,2,1310,2,1293,2,1193,2,1169,46,4,33,6,8,4,95.3,98.3,0.4,0.6,1.8,0.8,1.2,0,1.3,0.3,1.8,10,1.8,10,2.2,12,2.2,12,2.3,13
8,597,597,3,1858,3,1850,3,1515,3,1761,2,1346,39,9,20,7,17,4,78.6,84,11.8,9.3,3.6,1.7,1.8,1.6,4.2,3.5,2,12,2,12,2.3,14,2.3,14,2.4,14
9,94,94,7,620,6,607,6,583,6,538,7,608,35,7,10,7,8,5,71.4,62.8,17.7,29.9,2.4,1,2,2.8,6.5,3.5,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3
10,551,551,7,3785,7,3735,6,3561,6,3355,7,3711,38,,19,4,12,3,32.2,34.7,52,50.1,4.3,4.6,2.5,2.5,9,8.1,2.9,16,2.9,16,2.9,16,2.9,16,2.9,16
11,510,510,5,2642,5,2623,5,2563,5,2357,4,2084,35,,25,6,6,2,91.5,95.3,2.5,1.6,2.5,0.9,2,0.8,1.5,1.5,3.7,19,3.8,19,3.8,19,3.8,19,3.8,19
12,159,159,17,2723,17,2677,17,2636,16,2496,15,2426,28,,26,5,5,1,14.5,41.6,46.7,28.6,5.7,7.6,3.2,2.9,29.9,19.3,1.2,2,1.2,2,1.2,2,1.2,2,1.2,2
13,457,457,8,3590,8,3583,8,3551,7,3348,8,3456,35,,15,5,13,4,47.4,56.7,21.6,13.6,2.4,4.3,2.1,2.4,26.6,23,1.4,6,1.3,6,1.3,6,1.3,6,1.6,7
14,436,436,9,3779,9,3784,9,3741,8,3669,6,2654,31,,19,6,5,4,27.8,60.6,44,27.1,16.5,6,3.5,2.9,8.1,3.4,6.1,27,6.1,27,6.1,27,6.1,27,6.1,27
15,690,690,3,2154,3,2141,3,2064,3,2010,3,2118,53,,20,5,35,5,79.4,86.7,8.8,5.4,4.2,5.2,2.4,1,5.1,1.7,4.2,29,4.2,29,4.2,29,3.6,25,3.6,25
16,724,725,7,4759,7,4750,6,4647,6,4587,5,3959,28,,26,4,10,2,31.6,56.7,44.6,29.4,3.1,5.3,3,2.7,17.6,6,2.6,19,2.1,15,2.1,15,2.1,15,2.1,15
17,454,454,7,3375,7,3387,7,3362,7,3047,7,3194,41,,19,6,14,3,7,15.4,73.9,73.9,3.3,6.4,2.3,1.8,13.5,2.6,2.2,10,2.2,10,1.7,8,1.7,8,1.7,8
18,615,615,5,3361,6,3433,5,3234,5,2968,3,2125,34,,21,5,8,3,83.6,81.8,10,13.1,2.2,1.1,1.6,1.1,2.6,2.9,8,49,8,49,9,55,9,55,9,55
19,838,838,4,3658,4,3654,4,3596,4,3480,5,3805,42,,18,4,21,3,88.2,93,4.1,1.8,2,2,1.8,1.4,3.9,1.7,2.6,22,2.6,22,2.6,22,2.9,24,2.9,24
20,399,399,8,3145,8,3145,8,3145,7,2975,3,1123,41,,19,6,16,4,76.9,87,5.7,4,6.7,3.8,2.2,1.4,8.6,3.8,3.2,13,4,16,4.2,17,4,16,4,16
21,912,912,3,3005,3,2984,3,2890,3,2622,2,2177,30,4,32,6,3,2,11.7,15.6,54.6,57.8,2.7,0.4,1.9,1.8,29.1,24.4,8.4,76,8.1,74,9.7,88,9.1,83,9.1,83
22,314,314,3,984,3,961,3,897,2,736,2,667,36,6,15,5,7,5,37.9,3.9,49.9,68.7,8.2,13.6,1.5,1.5,2.6,12.3,8.7,27,8.6,27,8.6,27,11.7,37,11.7,37
23,281,281,4,1113,4,1112,4,1081,4,1100,5,1413,35,21,17,11,8,4,40.3,57.2,44.3,32.4,1.7,3,4.5,1.5,9.3,5.9,13.5,38,14.5,41,14.5,41,14.5,41,14.5,41
24,180,180,6,1125,6,1129,7,1201,6,1129,7,1231,26,6,35,9,11,3,47.4,52.9,5.5,10.5,2.2,7.9,0.9,1.5,44,27.3,3.4,6,3.5,6,3.5,6,3.5,6,3.5,6
25,653,653,5,2974,5,2958,5,2958,4,2829,4,2604,42,1,25,6,12,3,85.9,91.1,3.8,3,4.7,3.4,1.7,0.8,3.8,1.7,4.5,30,4.5,29,4.5,29,4.5,29,3,20
26,1129,1128,3,3094,3,3096,3,3088,3,2980,3,2841,34,5,31,6,8,3,56.4,74.2,31.5,20.1,1.5,2.4,3.4,1.2,7.2,2.2,21.6,244,21.8,246,21.8,246,21.8,246,21.8,246
27,321,321,8,2716,8,2719,8,2719,8,2656,4,1187,38,4,19,7,9,3,36.9,68.5,32.1,17.6,3.9,4.1,2.6,2.9,24.6,6.9,5.7,18,6.4,21,6.4,21,6.5,21,6.5,21
28,194,194,6,1173,6,1197,6,1176,5,946,4,763,42,6,28,9,21,8,95.7,95.5,1.8,1.8,0.7,1.3,0.3,1.1,1.5,0.3,0.2,0,0.2,0,1.2,2,1.2,2,1.2,2
29,408,408,3,1237,3,1237,3,1240,3,1172,3,1076,45,7,19,5,23,5,88,92.8,2.9,2.2,2.9,1.6,1.6,1,4.6,2.4,3.8,16,3.2,13,3.2,13,3.2,13,3.2,13
30,477,477,5,2420,4,2091,3,1235,3,1204,3,1231,26,7,37,10,3,2,1.9,3.7,91.6,93.9,0.2,0,1.3,1.4,5,1,3.6,17,3.6,17,3.6,17,3.6,17,7.4,35
31,385,385,4,1674,4,1666,4,1650,4,1599,4,1631,45,4,23,5,14,4,94.8,97.1,1.3,1.3,1.3,0.9,1.3,0.5,1.4,0.3,1.3,5,1.1,4,1.7,6,1.7,6,1.7,6
32,87,87,4,337,4,337,4,337,4,317,3,295,56,12,4,8,25,16,77.6,91.9,9.5,5.1,0.6,0,3.2,2.4,9.1,0.7,14.4,37,0,0,0,0,0,0,0,0
33,259,259,5,1347,5,1347,5,1320,5,1259,4,1093,30,5,24,12,7,8,14.1,55.4,29.6,29.3,44.6,10.4,4.5,2,7.1,2.8,36.4,338,15.9,41,15.9,41,15.9,41,15.9,41
34,928,928,2,2217,2,2177,2,2098,2,1787,2,1703,47,15,21,10,11,4,32.3,54.5,47.4,37.5,3.4,2.2,2.7,1.8,14.2,4,44.8,1022,41.1,382,29.4,273,29.4,273,29.4,273
